#,I / O,FOB,FOB_newpairs,Serial Number,Re-pairing status,OK,Notes
147,_Out,147_Out,,990000005AC2E021,,x,Working 
148,_In,148_In,,1C0000005AC3FE21,,x,Working 
148,_Out,148_Out,,4A0000005AB7F121,,x,Working 
149,_In,149_In,,5C0000005AD11721,,x,Working 
149,_Out,149_Out,,4D0000005AC4FE21,,x,Working 
150,_In,150_In,,040000005AC65721,,x,Working
150,_Out,150_Out,,D90000005ABCB821,,x,Working
151,_In,151_In,,1E0000005AAB3821,,x,Working 
151,_Out,151_Out,,9D0000005ACF7321,,x,Working 
152,_In,152_In,,F80000005AB1A121,,x,Working 
152,_Out,152_Out,,0A0000005AB2DE21,,x,Working 
153,_In,153_In,,B20000005AC13821,,x,Working
153,_Out,153_Out,,0D0000005AC91921,,x,Working
154,_In,154_In,,500000005AA92121,,x,Working 
154,_Out,154_Out,,AC0000005AC2F221,,x,Working 
155,_In,155_In,,790000005A9E0C21,,x,Working
155,_Out,155_Out,,EB0000005AC44621,,x,Working
156,_In,156_In,,F70000005AC90121,,x,Working 
156,_Out,156_Out,,250000005AC5D021,,x,Working 
157,_In,157_In,,480000005ABC0121,,x,Working 
157,_Out,157_Out,,600000005ABC6421,,x,Working 
158,_In,158_In,,0A0000005AC62E21,,x,Working 
158,_Out,158_Out,,B80000005AC16721,,x,Working 
159,_In,159_In,,670000005AB16121,,x,Working 
159,_Out,159_Out,,E30000005ACEF021,,x,Working 
160,_In,160_In,,BF0000005AA79C21,re-paired,x,Working; completely chewed apart unpaired ibutton
160,_Out,160_Out,,EE0000005AA85421,re-paired,x,Working; completely chewed apart unpaired ibutton
161,_In,161_In,,B10000005A9FAF21,,x,Working
161,_Out,161_Out,,780000005ABF9B21,,x,Working
162,_In,162_In,,DE0000005AC77F21,,x,Working; partially chewed
162,_Out,162_Out,,FD0000005AB64D21,,x,Working 
163,_In,163_In,,3F0000005AC34121,,x,Working 
163,_Out,163_Out,,870000005A9E3221,,x,Working 
164,_In,164_In,,2D0000005AA58121,,x,Working 
164,_Out,164_Out,,280000005AA71021,,x,Working 
165,_In,165_In,,E80000005AAE3721,,x,needs re-pairing
165,_Out,165_Out,,DE0000005ACBD321,,x,needs re-pairing
166,_In,166_In,,E20000005AB73021,,x,Working 
166,_Out,166_Out,,000000005ACD9221,,x,Working 
167,_In,167_In,,830000005AD09C21,,,Not working; recognized but dead battery 
