strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100030102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030204,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030205,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030206,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030207,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030307,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030308,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030309,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030310,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040501,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040502,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040503,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040504,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040505,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040506,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040601,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040602,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040603,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040604,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040605,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040606,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040701,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040702,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040703,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040801,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040802,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040803,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040804,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040805,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040901,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040902,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040903,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040904,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040905,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040906,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040907,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040908,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040909,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041001,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041002,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041003,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041004,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041005,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041006,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041007,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041008,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041009,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041106,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041107,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041108,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041109,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041110,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041111,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041112,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041113,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041114,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050106,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050107,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
